"WithinNestRep","TubeLetter","NestBox","BroodID","RingNumber","Plot","year","Species","Type","Age","Sex","nSamples","dateSample","AdateSample","timeSample","tube_ID","ClutchSize","NumberFledged","SPY","Ha","TreatmentB","TreatmentG","Doublebox","TubeLetterValue","SpecType","Sum.OakNr.","MeanCircumference","MaxCircumference","Subplot","RRA_Noctuidae","RRA_Erebidae","RRA_Geometridae","RRA_Tineidae","RRA_Lasiocampidae","RRA_Gelechiidae","RRA_Ypsolophidae","RRA_Tortricidae","RRA_Lycaenidae","RRA_Lypusidae","RRA_Notodontidae","RRA_Psychidae","RRA_Nolidae","RRA_Glyphipterigidae","RRA_Drepanidae","RRA_Pyralidae","RRA_Eriocraniidae","RRA_Argyresthiidae","RRA_Adelidae","RRA_Coleophoridae","RRA_Hesperiidae","RRA_Crambidae","RRA_Oecophoridae","RRA_Argidae","RRA_Pamphiliidae","RRA_Tenthredinidae","RRA_Chrysomelidae","RRA_Curculionidae","pp1_all","pp1_B","pp1_G","np1_all","np1_B","np1_G","propp1_all","propp1_B","propp1_G","propp2_all","propp2_B","propp2_G"
"1819_chick1",NA,"A07",1819,NA,"A",2023,"G","chick1",1,2,1,"23.05.2023",52,"10:16","A_07_3",8,5,"A12023",6.91,0,0,0,1,"1_chick1",0,0,0,"A1",0.161290322580645,0,0.814516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241935483870968,0.975806451612903,0.975806451612903,0.814516129032258,0.0241935483870968,0.0241935483870968,0.185483870967742,0.975806451612903,0.975806451612903,0.814516129032258,0.0596646942800789,0.0596646942800789,0.0498027613412229
"1819_chick2","A","A07",1819,NA,"A",2023,"G","chick2",1,2,1,"27.05.2023",56,"07:15","A_07_4A",8,5,"A12023",6.91,0,0,0,1,"1_chick2",0,0,0,"A1",0.0220570606569168,0,0.977942939343083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.977942939343083,0,0,0.0220570606569168,1,1,0.977942939343083,0.374786593584329,0.374786593584329,0.366519902956241
"1819_chick2","B","A07",1819,NA,"A",2023,"G","chick2",1,2,1,"27.05.2023",56,"07:15","A_07_4B",8,5,"A12023",6.91,0,0,0,2,"1_chick2",0,0,0,"A1",0.854698242933537,0,0.141940412528648,0,0.00145148968678381,0,0,0,0,0,0,0,0,0,0,0.00190985485103133,0,0,0,0,0,0,0,0,0,0,0,0,0.996638655462185,0.996638655462185,0.141940412528648,0.00336134453781513,0.00336134453781513,0.858059587471352,0.996638655462185,0.996638655462185,0.141940412528648,0.937953842835574,0.937953842835574,0.133582572435114
"1821_AF",NA,"A09",1821,"C5H7063","A",2023,"G","AF",5,-0.5,1,"21.05.2023",50,"08:47","A_09_2",9,4,"A12023",6.91,0,0,0,1,"1_AF",0,0,0,"A1",0.113987836663771,0,0.869852302345786,0,0,0,0,0.0123370981754996,0,0,0,0,0,0,0,0.00156385751520417,0,0,0.00225890529973936,0,0,0,0,0,0,0,0,0,0.983840139009557,0.983840139009557,0.869852302345786,0.0161598609904431,0.0161598609904431,0.130147697654214,0.983840139009557,0.983840139009557,0.869852302345786,0.671330329618212,0.671330329618212,0.593549917002608
"1821_AM",NA,"A09",1821,"CS87466","A",2023,"G","AM",6,0.5,1,"21.05.2023",50,"08:15","A_09_1",9,4,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.215489422732162,0.185729652205092,0.273216206525636,0,0,0,0,0.0358551452133383,0.242022230190032,0,0,0,0,0,0,0.0405163140910722,0,0,0,0,0,0,0,0,0,0,0,0.00717102904266763,0.67443528146289,0.488705629257798,0.458945858730728,0.32556471853711,0.511294370742202,0.541054141269272,0.67443528146289,0.488705629257798,0.458945858730728,0.357604562737642,0.259125475285171,0.243346007604563
"1832_AF",NA,"A20",1832,"B5G6337","A",2023,"B","AF",5,-0.5,1,"26.05.2023",55,"16:20","A_20_2",9,8,"A12023",6.91,0,0,0,1,"2_AF",0,0,0,"A1",0.967989756722151,0,0.0123239436619718,0.00192061459667094,0,0,0,0.0177656850192062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980313700384123,0.980313700384123,0.0123239436619718,0.0196862996158771,0.0196862996158771,0.987676056338028,0.980313700384123,0.980313700384123,0.0123239436619718,0.956881737228558,0.956881737228558,0.0120293704108733
"1832_AM",NA,"A20",1832,"B5K0232","A",2023,"B","AM",5,0.5,1,"26.05.2023",55,"15:15","A_20_1",9,8,"A12023",6.91,0,0,0,1,"2_AM",0,0,0,"A1",0.0115792859440335,0,0.14184625281441,0,0,0,0,0.843786855366142,0,0,0,0,0,0,0,0.00278760587541546,0,0,0,0,0,0,0,0,0,0,0,0,0.153425538758443,0.153425538758443,0.14184625281441,0.846574461241557,0.846574461241557,0.85815374718559,0.153425538758443,0.153425538758443,0.14184625281441,0.129081724697817,0.129081724697817,0.119339707739491
"1832_chick2","A","A20",1832,NA,"A",2023,"B","chick2",1,2,2,"30.05.2023",59,"11:42","A_20_4A",9,8,"A12023",6.91,0,0,0,1,"2_chick2",0,0,0,"A1",0.00483399058643938,0,0.00922274519781198,0,0,0,0.0069329601831828,0,0.975003180256965,0,0.00400712377560106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140567357842514,0.0140567357842514,0.00922274519781198,0.985943264215749,0.985943264215749,0.990777254802188,0.0140567357842514,0.0140567357842514,0.00922274519781198,0.0133502476742781,0.0133502476742781,0.00875921227497886
"1833_AF",NA,"A21",1833,"C5H7279","A",2023,"G","AF",5,-0.5,1,"29.05.2023",58,"11:26","A_21_2",10,7,"A12023",6.91,0,0,0,1,"1_AF",0,0,0,"A1",0.0310187820147979,0,0.888161639157655,0,0,0,0,0.0266552836273952,0,0,0,0,0,0,0,0.0152722443559097,0,0,0,0,0,0,0,0,0,0,0,0.0388920508442421,0.919180421172453,0.919180421172453,0.888161639157655,0.080819578827547,0.080819578827547,0.111838360842345,0.919180421172453,0.919180421172453,0.888161639157655,0.574528637495553,0.574528637495553,0.555140519388118
"1833_AM",NA,"A21",1833,"C5H7151","A",2023,"G","AM",5,0.5,1,"29.05.2023",58,"11:44","A_21_1",10,7,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.320676170051722,0,0.55884950170304,0,0,0,0.0112274504856819,0.0266178882300997,0,0,0,0,0,0,0,0.0026491737101047,0,0,0,0,0,0,0,0,0,0,0,0.0799798158193516,0.879525671754762,0.879525671754762,0.55884950170304,0.120474328245238,0.120474328245238,0.44115049829696,0.879525671754762,0.879525671754762,0.55884950170304,0.488645920941968,0.488645920941968,0.310485001401738
"1833_chick2",NA,"A21",1833,NA,"A",2023,"G","chick2",1,2,1,"01.06.2023",61,"10:50","A_21_4",10,7,"A12023",6.91,0,0,0,1,"1_chick2",0,0,0,"A1",0.0409836065573771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90983606557377,0,0,0,0,0,0.0245901639344262,0,0,0,0,0,0.0245901639344262,0.0409836065573771,0.0409836065573771,0,0.959016393442623,0.959016393442623,1,0.0409836065573771,0.0409836065573771,0,0.0034837136387389,0.0034837136387389,0
"1836_AF",NA,"A24",1836,"B4P0479","A",2023,"B","AF",6,-0.5,1,"29.05.2023",58,"11:48","A_24_2",7,6,"A12023",6.91,0,0,0,1,"2_AF",0,0,0,"A1",0.0771123491179201,0,0,0,0,0,0,0.768291550603528,0,0,0,0,0,0,0,0.00297121634168988,0,0,0,0,0,0,0,0,0,0,0,0.151624883936862,0.0771123491179201,0.0771123491179201,0,0.92288765088208,0.92288765088208,1,0.0771123491179201,0.0771123491179201,0,0.0735476443499823,0.0735476443499823,0
"1836_AM",NA,"A24",1836,"B4P0633","A",2023,"B","AM",6,0.5,1,"29.05.2023",58,"12:15","A_24_1",7,6,"A12023",6.91,0,0,0,1,"2_AM",0,0,0,"A1",0.0389720077220078,0,0.0980936293436293,0,0,0,0,0.075530888030888,0,0,0,0,0,0,0,0,0.787403474903475,0,0,0,0,0,0,0,0,0,0,0,0.137065637065637,0.137065637065637,0.0980936293436293,0.862934362934363,0.862934362934363,0.901906370656371,0.137065637065637,0.137065637065637,0.0980936293436293,0.0713119899560578,0.0713119899560578,0.0510357815442561
"1836_chick1",NA,"A24",1836,NA,"A",2023,"B","chick1",1,2,1,"28.05.2023",57,"17:53","A_24_3",7,6,"A12023",6.91,0,0,0,1,"2_chick1",0,0,0,"A1",0.0956673451584762,0,0.783658040127944,0,0,0,0,0.120674614713579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87932538528642,0.87932538528642,0.783658040127944,0.120674614713579,0.120674614713579,0.216341959872056,0.879325385286421,0.879325385286421,0.783658040127944,0.451275928965826,0.451275928965826,0.402178779286674
"1837_AM",NA,"A25",1837,"C5H7054","A",2023,"G","AM",6,0.5,1,"18.05.2023",47,"11:10","A_25_1",8,0,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.783943329397875,0,0.0655253837072019,0,0,0,0,0.0785123966942148,0,0,0,0,0,0,0,0.0277449822904368,0,0,0,0,0,0.0247933884297521,0,0,0,0,0,0.0194805194805195,0.849468713105077,0.849468713105077,0.0655253837072019,0.150531286894923,0.150531286894923,0.934474616292798,0.849468713105077,0.849468713105077,0.0655253837072019,0.28080788369597,0.28080788369597,0.0216606498194946
"1837_chick1",NA,"A25",1837,NA,"A",2023,"G","chick1",1,2,1,"18.05.2023",47,"12:07","A_25_3",8,0,"A12023",6.91,0,0,0,1,"1_chick1",0,0,0,"A1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0.0515021459227468,0.0515021459227468,0.0515021459227468
"1837_chick2","A","A25",1837,NA,"A",2023,"G","chick2",1,2,2,"22.05.2023",51,"08:18","A_25_4A",8,0,"A12023",6.91,0,0,0,1,"1_chick2",0,0,0,"A1",0.803456356180433,0.00146455770357352,0.0325131810193322,0,0.0521382542472174,0,0,0,0,0,0,0,0,0,0,0.0152314001171646,0,0,0,0,0.0515524311657879,0,0,0.0436438195664909,0,0,0,0,0.837434094903339,0.835969537199766,0.0339777387229057,0.162565905096661,0.164030462800234,0.966022261277094,0.837434094903339,0.835969537199766,0.0339777387229057,0.727666072792059,0.726393484347162,0.0295240519216086
"1839_AF",NA,"A27",1839,"CS87503","A",2023,"G","AF",5,-0.5,1,"23.05.2023",52,"09:00","A_27_2",8,5,"A12023",6.91,0,0,0,1,"1_AF",0,0,0,"A1",0.00327040285416976,0,0.99189832020217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483127694365988,0,0,0,0,0,0,0,0.99516872305634,0.99516872305634,0.99189832020217,0.00483127694365988,0.00483127694365988,0.00810167979782964,0.99516872305634,0.99516872305634,0.99189832020217,0.959509817973341,0.959509817973341,0.956356600257991
"1839_AM",NA,"A27",1839,"C5H7301","A",2023,"G","AM",5,0.5,1,"23.05.2023",52,"07:40","A_27_1",8,5,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.318877551020409,0.107142857142857,0.170918367346939,0,0,0,0.158163265306122,0.165816326530612,0,0,0,0,0,0,0,0.0790816326530612,0,0,0,0,0,0,0,0,0,0,0,0,0.596938775510204,0.489795918367347,0.278061224489796,0.403061224489796,0.510204081632653,0.721938775510204,0.596938775510204,0.489795918367347,0.278061224489796,0.0260550050105779,0.021378465649705,0.0121367331032179
"1854_AM",NA,"A42",1854,"C5H7338","A",2023,"G","AM",5,0.5,1,"27.05.2023",56,"08:28","A_42_1",7,5,"A22023",6.38,0,1,0,1,"1_AM",5,0.8,1.05,"A2",0.617339618774339,0.0221356835417094,0.312154129944661,0,0,0,0,0.0278745644599303,0,0,0,0,0,0,0,0.00450912072145932,0,0,0,0,0,0,0,0,0,0,0,0.0159868825579012,0.951629432260709,0.929493748719,0.33428981348637,0.0483705677392909,0.0705062512810002,0.66571018651363,0.951629432260709,0.929493748719,0.33428981348637,0.252309531572655,0.246440604282143,0.088631670470601
"1854_chick2","B","A42",1854,NA,"A",2023,"G","chick2",1,2,3,"02.06.2023",62,"15:46","A_42_4B",7,5,"A22023",6.38,0,1,0,2,"1_chick2",5,0.8,1.05,"A2",0.0226468506723283,0,0,0,0,0,0,0,0.888181174805379,0,0,0,0,0,0,0.0891719745222929,0,0,0,0,0,0,0,0,0,0,0,0,0.0226468506723283,0.0226468506723283,0,0.977353149327672,0.977353149327672,1,0.0226468506723283,0.0226468506723283,0,0.00145613396432471,0.00145613396432471,0
"1856_chick1","A","A44",1856,NA,"A",2023,"B","chick1",1,2,1,"27.05.2023",56,"09:18","A_44_3A",10,0,"A22023",6.38,0,1,0,1,"2_chick1",0,0,0,"A2",0.280172413793104,0.120689655172414,0.189655172413793,0,0,0,0,0.0689655172413795,0,0,0,0,0,0.064655172413793,0,0.275862068965517,0,0,0,0,0,0,0,0,0,0,0,0,0.59051724137931,0.469827586206897,0.310344827586207,0.40948275862069,0.530172413793103,0.689655172413793,0.59051724137931,0.469827586206897,0.310344827586207,0.0170525267612646,0.0135673388100573,0.00896191187453323
"1856_chick1","C","A44",1856,NA,"A",2023,"B","chick1",1,2,1,"27.05.2023",56,"09:18","A_44_3C",10,0,"A22023",6.38,0,1,0,3,"2_chick1",0,0,0,"A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0
"1856_chick2",NA,"A44",1856,NA,"A",2023,"B","chick2",1,2,1,"01.06.2023",61,"09:37","A_44_4",10,0,"A22023",6.38,0,1,0,1,"2_chick2",0,0,0,"A2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0.256895193065405,0.256895193065405,0
"1863_chick2",NA,"A48",1863,NA,"A",2023,"B","chick2",1,2,2,"01.06.2023",61,"10:18","A_48_4",8,2,"A22023",6.38,0,1,0,1,"2_chick2",8,1.1575,1.37,"A2",0.914733445997849,0,0.0599170379474573,0,0,0,0,0,0.0113688738669535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139806421877401,0.974650483945306,0.974650483945306,0.0599170379474573,0.0253495160546936,0.0253495160546936,0.940082962052543,0.974650483945306,0.974650483945306,0.0599170379474573,0.945032027409504,0.945032027409504,0.0580962311932072
"1867_AF",NA,"A50",1867,"B4P0648","A",2023,"B","AF",6,-0.5,1,"29.05.2023",58,"13:48","A_50_2",8,0,"A22023",6.38,0,1,0,1,"2_AF",0,0,0,"A2",0.856810982048574,0.00190073917634636,0.00232312565997888,0,0,0,0,0,0.135163674762408,0,0,0,0,0,0,0.00253431890179515,0,0,0,0,0,0,0,0,0,0,0,0.00126715945089757,0.861034846884899,0.859134107708553,0.00422386483632524,0.138965153115101,0.140865892291447,0.995776135163675,0.861034846884899,0.859134107708553,0.00422386483632524,0.818346045764753,0.816539542352469,0.00401445202729828
"1867_chick1",NA,"A50",1867,NA,"A",2023,"B","chick1",1,2,2,"28.05.2023",57,"18:23","A_50_3",8,0,"A22023",6.38,0,1,0,1,"2_chick1",0,0,0,"A2",0.907382791449614,0,0.0828453386024789,0.00402371115502066,0,0,0,0.00359259924555416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021555595473325,0.990228130052093,0.990228130052093,0.0828453386024789,0.00977186994790732,0.00977186994790732,0.917154661397521,0.990228130052093,0.990228130052093,0.0828453386024789,0.923940734781443,0.923940734781443,0.0772995441137034
"1871_chick2",NA,"A52",1871,NA,"A",2023,"G","chick2",1,2,1,"26.05.2023",55,"17:50","A_52_4",9,5,"A22023",6.38,0,1,0,1,"1_chick2",0,0,0,"A2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0.0530868694226917,0.0530868694226917,0
"1873_AF",NA,"A53",1873,"C5H7312","A",2023,"G","AF",5,-0.5,1,"25.05.2023",54,"07:45","A_53_2",8,6,"A22023",6.38,0,1,0,1,"1_AF",0,0,0,"A2",0.711906230721777,0,0.141270820481185,0,0.00333127698951265,0,0,0.0298581122763726,0,0,0,0,0,0,0,0.0281307834669956,0,0,0,0,0,0,0,0,0,0,0,0.085502776064158,0.853177051202961,0.853177051202961,0.141270820481185,0.146822948797039,0.146822948797039,0.858729179518815,0.853177051202961,0.853177051202961,0.141270820481185,0.444808954071787,0.444808954071787,0.073652386465972
"1873_AM",NA,"A53",1873,"C3F7585","A",2023,"G","AM",6,0.5,1,"27.05.2023",56,"10:49","A_53_1",8,6,"A22023",6.38,0,1,0,1,"1_AM",0,0,0,"A2",0.0241357970117585,0,0.744673326849969,0,0,0,0.00247546636018036,0.0431438422774291,0.0022102378215896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168950579082309,0.00937140836353991,0.00503934223322429,0.768809123861727,0.768809123861727,0.744673326849969,0.231190876138273,0.231190876138273,0.255326673150031,0.768809123861727,0.768809123861727,0.744673326849969,0.533366045142296,0.533366045142296,0.516621687929342
"1873_chick2",NA,"A53",1873,NA,"A",2023,"G","chick2",1,2,2,"29.05.2023",58,"16:00","A_53_4",8,6,"A22023",6.38,0,1,0,1,"1_chick2",0,0,0,"A2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0.00163494102534159,0.00163494102534159,0.00163494102534159
"1880_AM",NA,"A57",1880,"C5H8347","A",2023,"G","AM",5,0.5,1,"31.05.2023",60,"09:25","A_57_1",7,6,"A22023",6.38,0,1,0,1,"1_AM",0,0,0,"A2",0.0548302872062663,0,0.398955613577024,0,0,0,0,0,0.54621409921671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45378590078329,0.45378590078329,0.398955613577024,0.54621409921671,0.54621409921671,0.601044386422976,0.45378590078329,0.45378590078329,0.398955613577024,0.0398477622890682,0.0398477622890682,0.03503301540719
"1880_chick1","B","A57",1880,NA,"A",2023,"G","chick1",1,2,2,"31.05.2023",60,"10:35","A_57_3B",7,6,"A22023",6.38,0,1,0,2,"1_chick1",0,0,0,"A2",0.352769679300292,0.0408163265306123,0.0758017492711369,0,0.0816326530612244,0,0,0.0379008746355686,0,0,0,0,0,0,0,0.0379008746355686,0,0,0,0,0,0.259475218658892,0,0,0,0,0,0.113702623906705,0.469387755102041,0.428571428571429,0.116618075801749,0.530612244897959,0.571428571428571,0.883381924198251,0.469387755102041,0.428571428571429,0.116618075801749,0.0143981398676445,0.0131461277052406,0.00357717760686818
"1880_chick1","C","A57",1880,NA,"A",2023,"G","chick1",1,2,1,"31.05.2023",60,"10:35","A_57_3C",7,6,"A22023",6.38,0,1,0,3,"1_chick1",0,0,0,"A2",0.690036900369004,0,0,0,0,0,0,0.0959409594095939,0,0,0,0,0,0,0,0.103321033210332,0,0,0,0,0,0,0,0,0,0,0,0.11070110701107,0.690036900369004,0.690036900369004,0,0.309963099630996,0.309963099630996,1,0.690036900369004,0.690036900369004,0,0.0211084772547692,0.0211084772547692,0
"1882_chick1",NA,"A58",1882,NA,"A",2023,"B","chick1",1,2,2,"29.05.2023",58,"14:57","A_58_3",8,4,"A22023",6.38,0,1,0,1,"2_chick1",6,1.43,1.74,"A2",0.31779257849667,0,0.382492863939106,0.0513796384395814,0,0,0,0.0808753568030447,0.0228353948620361,0,0.0190294957183634,0,0,0,0,0.0104662226450999,0,0,0,0,0,0.0884871550903902,0,0,0,0,0,0.0266412940057089,0.700285442435775,0.700285442435775,0.382492863939106,0.299714557564225,0.299714557564225,0.617507136060894,0.700285442435775,0.700285442435775,0.382492863939106,0.0778671180702496,0.0778671180702496,0.0425306813372831
"1886_AF",NA,"A60",1886,"CS87929","A",2023,"G","AF",6,-0.5,1,"02.06.2023",62,"15:00","A_60_2",9,8,"A22023",6.38,0,1,0,1,"1_AF",5,1.41,1.56,"A2",0.166402535657686,0,0.740095087163233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396196513470681,0,0,0,0,0,0,0.0538827258320128,0.906497622820919,0.906497622820919,0.740095087163233,0.0935023771790809,0.0935023771790809,0.259904912836767,0.906497622820919,0.906497622820919,0.740095087163233,0.0399413448781509,0.0399413448781509,0.0326094546470218
"1886_AM",NA,"A60",1886,"CS87928","A",2023,"G","AM",6,0.5,1,"02.06.2023",62,"14:16","A_60_1",9,8,"A22023",6.38,0,1,0,1,"1_AM",5,1.41,1.56,"A2",0.2010599909788,0,0.455232295895354,0,0,0,0.00958502480829951,0.3234100135318,0,0,0.00834460983310782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023680649526387,0.656292286874154,0.656292286874154,0.455232295895354,0.343707713125846,0.343707713125846,0.544767704104646,0.656292286874154,0.656292286874154,0.455232295895354,0.372790161414297,0.372790161414297,0.258583141173456
"1886_chick1","A","A60",1886,NA,"A",2023,"G","chick1",1,2,3,"02.06.2023",62,"15:01","A_60_3A",9,8,"A22023",6.38,0,1,0,1,"1_chick1",5,1.41,1.56,"A2",0.741476105709982,0.0521703409557715,0.106120772285362,0,0,0,0,0.0620293030261537,0,0,0.0115021224154457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124606326167328,0,0.0142407229905518,0.899767218951116,0.847596877995344,0.158291113241134,0.100232781048884,0.152403122004656,0.841708886758866,0.899767218951116,0.847596877995344,0.158291113241134,0.438212737579193,0.412804268089363,0.0770923641213738
